data,domain,intent,method,algorithm,model,optimizer,loss,scheduler,initial.lr,tile_size,overlap,batch_size,pu,accuracy,precision,recall,csi,mse,inference_time,feedback
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN1,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.96,0.83,0.77,0.67,0.0276,0.5,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN2,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.95,0.76,0.79,0.63,0.0376,0.5,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN3,Adam,MSE Weighted,reduce_plateau,0.001,256,0,1,GPU,0.95,0.88,0.68,0.62,0.0564,0.13,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN4,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.97,0.73,0.84,0.62,0.0202,1.3,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN5,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.9505,0.8843,0.8714,0.8664,0.0012,0.5,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN6,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9353,0.8551,0.789,0.7883,0.0018,0.79,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN7,Adam,MSE Weighted,reduce_plateau,0.01,256,0,4,GPU,0.9326,0.8782,0.7857,0.7599,0.0033,0.85,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN8,Adam,MSE Weighted,reduce_plateau,0.001,256,15,4,GPU,0.9631,0.8967,0.8669,0.8251,0.0041,0.61,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN9,Adam,MSE Weighted,reduce_plateau,0.01,256,0,1,GPU,0.9421,0.8767,0.8033,0.7904,0.0024,0.57,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN10,Adam,MSE Weighted,reduce_plateau,0.01,256,15,1,GPU,0.9782,0.9127,0.8762,0.836,0.0025,0.48,8
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN11,Adam,MSE Weighted,reduce_plateau,0.01,512,0,1,GPU,0.9345,0.8556,0.833,0.8189,0.0024,1.06,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN12,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9722,0.9114,0.831,0.7929,0.0037,0.89,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN13,Adam,MSE Weighted,reduce_plateau,0.01,512,0,1,GPU,0.9387,0.8437,0.8079,0.7753,0.0018,0.88,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN14,Adam,MSE Weighted,reduce_plateau,0.001,512,0,1,GPU,0.9783,0.8964,0.8869,0.8592,0.0026,0.85,6
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN15,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9658,0.8759,0.8833,0.8431,0.0019,1.28,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN16,Adam,MSE Weighted,reduce_plateau,0.01,512,15,1,GPU,0.9574,0.8607,0.8229,0.7975,0.0017,1.03,5
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN17,Adam,MSE Weighted,reduce_plateau,0.01,256,15,4,GPU,0.9366,0.8848,0.7981,0.7767,0.0024,0.9,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN18,Adam,MSE Weighted,reduce_plateau,0.01,512,15,4,GPU,0.9515,0.8847,0.8616,0.8385,0.0051,1.27,7
nimes_2005.zarr,natural disaster,flood prediction,deep learning model,CNN,CNN19,Adam,MSE Weighted,reduce_plateau,0.001,512,15,1,GPU,0.968,0.8822,0.8941,0.8821,0.0031,0.87,5
