data,ttp,time_windows,intent,method,algorithm,model,max_depth_vp,learning_rate,n_estimators_vp,min_child_weight_vp,accuracy,precision,recall,f1_score
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,1,79,0.01,49,9,0.8076,0.9433,0.8159,0.875
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,2,79,0.01,49,10,0.8053,0.9431,0.8131,0.8733
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,3,79,0.01,50,9,0.8076,0.9433,0.8159,0.875
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,4,79,0.01,50,10,0.8053,0.9431,0.8131,0.8733
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,5,79,0.02,49,9,0.8133,0.883,0.891,0.8873
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,6,79,0.02,49,10,0.87,0.9058,0.9401,0.9226
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,7,200,0.1,20,50,0.8332,0.8561,0.959,0.9046
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,8,10,0.1,100,50,0.8345,0.8779,0.9284,0.9025
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,9,10,0.01,100,2,0.8139,0.9056,0.8645,0.8846
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,10,79,0.01,100,2,0.8526,0.9165,0.8588,0.8867
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,11,79,0.1,49,2,0.8157,0.8623,0.8109,0.8358
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,12,200,0.02,100,10,0.8133,0.8571,0.8204,0.8383
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,13,10,0.02,50,9,0.8208,0.881,0.8291,0.8543
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,14,200,0.02,50,2,0.83,0.8624,0.8894,0.8757
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,15,79,0.02,100,50,0.8641,0.9413,0.868,0.9032
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,16,200,0.1,49,2,0.8685,0.9003,0.8624,0.8809
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,17,79,0.1,50,9,0.8653,0.9333,0.8704,0.9008
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,18,200,0.01,100,9,0.8506,0.8859,0.8885,0.8872
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,19,200,0.01,49,10,0.8882,0.9254,0.8962,0.9106
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,20,10,0.02,50,2,0.8215,0.8556,0.8584,0.857
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,21,10,0.1,50,50,0.8351,0.9139,0.859,0.8856
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,22,10,0.01,100,2,0.8541,0.9291,0.868,0.8975
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,23,79,0.02,100,50,0.8287,0.8829,0.8939,0.8884
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,24,79,0.01,100,2,0.8391,0.8859,0.9176,0.9015
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,25,10,0.1,49,10,0.8566,0.8944,0.8562,0.8749
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,26,200,0.01,49,10,0.8195,0.8683,0.8112,0.8388
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,27,79,0.01,49,50,0.8,0.8488,0.787,0.8167
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,28,79,0.1,100,10,0.8611,0.9191,0.9173,0.9182
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,29,10,0.1,100,2,0.8851,0.9429,0.9291,0.9359
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,30,79,0.02,50,50,0.8854,0.9517,0.8966,0.9233
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,31,10,0.01,100,2,0.8318,0.8946,0.8601,0.877
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,32,200,0.01,20,50,0.823,0.8627,0.8062,0.8335
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,33,200,0.1,50,50,0.8758,0.908,0.8682,0.8877
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,34,10,0.02,49,10,0.899,0.9519,0.9734,0.9625
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,35,10,0.01,49,10,0.8599,0.8929,0.8919,0.8924
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,36,10,0.02,49,2,0.8124,0.8757,0.8037,0.8382
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,37,200,0.1,100,50,0.8315,0.8932,0.8562,0.8743
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,38,10,0.01,100,2,0.8375,0.8849,0.9054,0.895
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,39,10,0.1,50,50,0.898,0.9389,0.891,0.9143
T1016_SystemNetworkConfigurationDiscovery2025-07-02_Tw_1min.parquet,T1016,1 minute,ttp detection,binary classification,XGBoost,40,79,0.02,50,10,0.8547,0.9327,0.835,0.8812
