dataset,domain,intent,method,algorithm,model,load time,inference time,detection,detection efficiency,iou_threshold,robustness,feedback
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_1,3.499,4.895,5,0.833,0.5,0.513,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_2,7.823,11.76,10,1.667,0.5,0.946,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_3,3.208,1.542,9,1.5,0.5,0.833,7
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_1,0.666,2.318,1,0.167,0.5,0.157,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_2,1.255,10.345,1,0.167,0.5,0.13,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_3,0.943,6.803,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_4,4.58,7.789,7,1.167,0.5,0.597,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_5,4.655,2.597,10,1.667,0.5,0.842,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_6,6.296,3.08,5,0.833,0.5,0.563,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_7,2.306,1.544,9,1.5,0.5,1,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_8,4.389,4.58,8,1.333,0.5,0.771,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_9,7.041,9.562,7,1.167,0.5,0.785,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_10,7.38,12,5,0.833,0.5,0.62,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_11,7.323,7.215,5,0.833,0.5,0.611,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_12,4.281,5.593,9,1.5,0.5,1,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_13,3.294,1.739,7,1.167,0.5,0.791,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_14,6.536,7.858,10,1.667,0.5,0.962,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_15,6.129,2.491,5,0.833,0.5,0.535,5
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_16,3.66,5.146,8,1.333,0.5,0.689,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_17,3.227,4.08,8,1.333,0.5,0.879,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_18,4.05,5.042,6,1,0.5,0.605,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_19,4.27,2.746,10,1.667,0.5,1,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_20,6.739,4.095,8,1.333,0.5,0.927,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_21,5.748,2.613,9,1.5,0.5,0.831,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_22,6.947,3.953,9,1.5,0.5,0.872,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_23,7.024,10.402,10,1.667,0.5,0.868,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_24,7.792,7.39,7,1.167,0.5,0.769,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_25,3.906,6.471,6,1,0.5,0.73,4
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_26,6.012,10.65,6,1,0.5,0.774,4
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_27,6.404,3.13,7,1.167,0.5,0.772,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_28,7.424,8.543,5,0.833,0.5,0.583,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_29,6.75,10.262,7,1.167,0.5,0.623,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_30,4.83,6.058,6,1,0.5,0.79,5
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_31,3.994,6.854,9,1.5,0.5,0.956,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_32,3.599,6.27,8,1.333,0.5,0.775,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_33,5.421,6.167,6,1,0.5,0.717,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_34,5.175,4.409,7,1.167,0.5,0.687,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_35,3.407,1.858,9,1.5,0.5,0.958,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_36,2.137,3.155,5,0.833,0.5,0.663,4
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_37,5.746,8.286,10,1.667,0.5,0.984,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_38,4.26,2.434,7,1.167,0.5,0.678,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_39,5.347,2.295,9,1.5,0.5,0.799,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_40,4.885,6.336,10,1.667,0.5,0.998,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_41,6.605,10.746,8,1.333,0.5,0.674,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_42,2.121,2.049,10,1.667,0.5,0.986,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_43,3.692,3.576,6,1,0.5,0.608,4
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_44,2.909,3.096,7,1.167,0.5,0.588,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_45,7.655,4.019,9,1.5,0.5,0.785,9
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_46,7.313,12,7,1.167,0.5,0.77,6
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_47,7.763,8.272,8,1.333,0.5,0.904,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_48,3.634,3.029,10,1.667,0.5,0.964,7
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_49,6.569,9.1,10,1.667,0.5,0.927,8
fire.1.csv,public safety,fire detection,object detection,YOLOv5,YOLOv5_50,7.676,8.595,7,1.167,0.5,0.624,8
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_4,1.014,4.077,3,0.5,0.5,0.362,3
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_5,1.268,5.788,3,0.5,0.5,0.334,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_6,1.315,10.527,2,0.333,0.5,0.278,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_7,1.87,10.709,3,0.5,0.5,0.37,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_8,0.832,2.972,2,0.333,0.5,0.262,1
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_9,1.831,11,0,0,0.5,0,0
fire.1.csv,public safety,fire detection,object detection,YOLOv8,YOLOv8_10,0.864,6.555,1,0.167,0.5,0.162,1
