domain,intent,algorithm,model,trigger_type,trigger_points,trigger_time_window,trigger_stationary,trigger_safety_net_hours,accuracy,segment_count_diff,mode_label_similarity,structural_similarity_score,runtime_per_user_day_sec
mobility,semi live processing,DBSCAN and rule-based mode inference,points50,points,50,,,,88.5,5,0.68,0.72,23.5
mobility,semi live processing,DBSCAN and rule-based mode inference,points100,points,100,,,,90.8,3,0.75,0.8,22.8
mobility,semi live processing,DBSCAN and rule-based mode inference,points200,points,200,,,,94.2,1,0.88,0.91,22
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger30,time_window,,30,,,89.6,4,0.7,0.74,24
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger60,time_window,,60,,,92,2,0.83,0.87,23
mobility,semi live processing,DBSCAN and rule-based mode inference,stationary15,stationary,,,15,,95,1,0.91,0.94,21.5
mobility,semi live processing,DBSCAN and rule-based mode inference,safety6,safety_net,,,,6,94.6,1,0.92,0.95,21
mobility,semi live processing,DBSCAN and rule-based mode inference,points30,points,30,,,,87.3745401188474,5,0.64719939418114,0.685865848419704,23.3560186404424
mobility,semi live processing,DBSCAN and rule-based mode inference,points40,points,40,,,,87.5559945203362,5,0.673617614577494,0.698111501174321,23.808072577796
mobility,semi live processing,DBSCAN and rule-based mode inference,points60,points,60,,,,88.2205844942958,5,0.696244264080042,0.683233911067828,23.0818249672071
mobility,semi live processing,DBSCAN and rule-based mode inference,points70,points,70,,,,88.7834045098534,4,0.678475643163224,0.717194501864211,23.091229140198
mobility,semi live processing,DBSCAN and rule-based mode inference,points80,points,80,,,,89.6118528947224,4,0.668214464853522,0.722636184329369,23.156069984217
mobility,semi live processing,DBSCAN and rule-based mode inference,points90,points,90,,,,90.185175961393,4,0.703423443841361,0.757241456886204,22.64645041272
mobility,semi live processing,DBSCAN and rule-based mode inference,points110,points,110,,,,90.8075448519015,3,0.684505159298528,0.816888553725333,23.3656320330746
mobility,semi live processing,DBSCAN and rule-based mode inference,points120,points,120,,,,91.4083973481165,3,0.700767211400638,0.802423302651216,22.7401524937396
mobility,semi live processing,DBSCAN and rule-based mode inference,points130,points,130,,,,91.1220382348448,3,0.707438852111522,0.836932040207878,22.4587799816
mobility,semi live processing,DBSCAN and rule-based mode inference,points140,points,140,,,,92.062522284354,2,0.769006802117781,0.812671027934328,22.2848544555255
mobility,semi live processing,DBSCAN and rule-based mode inference,points150,points,150,,,,92.7695846277646,2,0.823949894156419,0.859482735042765,22.5978999788111
mobility,semi live processing,DBSCAN and rule-based mode inference,points160,points,160,,,,93.1218742350231,1,0.762598286241914,0.786522728891054,22.2253303307633
mobility,semi live processing,DBSCAN and rule-based mode inference,points170,points,170,,,,92.9886772896895,1,0.838873750915193,0.829675332669359,22.0809345096874
mobility,semi live processing,DBSCAN and rule-based mode inference,points180,points,180,,,,93.5426960831583,1,0.849219698075404,0.813455064367977,22.6868869366005
mobility,semi live processing,DBSCAN and rule-based mode inference,points190,points,190,,,,94.1722447692967,1,0.78255221171236,0.899546142845483,22.3068573438476
mobility,semi live processing,DBSCAN and rule-based mode inference,points210,points,210,,,,94.929007168041,1,0.815404465173409,0.877846572854427,21.5158690595251
mobility,semi live processing,DBSCAN and rule-based mode inference,points220,points,220,,,,95.4631034258756,1,0.854089802485265,0.860355835028602,21.6109823217157
mobility,semi live processing,DBSCAN and rule-based mode inference,points230,points,230,,,,95.3251833220267,1,0.897755747135521,0.954721274257632,21.6722149251619
mobility,semi live processing,DBSCAN and rule-based mode inference,points240,points,240,,,,95.5195942459383,1,0.92307850486169,0.93412771975695,21.8709671799546
mobility,semi live processing,DBSCAN and rule-based mode inference,points250,points,250,,,,96.2937955963644,1,0.902754101835855,0.892541912674409,21.1078914269933
mobility,semi live processing,DBSCAN and rule-based mode inference,points260,points,260,,,,96.2314291856867,1,0.904435598107633,0.95285706911647,21.8075664739261
mobility,semi live processing,DBSCAN and rule-based mode inference,points270,points,270,,,,96.8492922291489,1,0.95,0.936879816549162,20.8769799098288
mobility,semi live processing,DBSCAN and rule-based mode inference,points280,points,280,,,,97,1,0.95,0.96,21.3334037565104
mobility,semi live processing,DBSCAN and rule-based mode inference,points290,points,290,,,,97,1,0.930657005888603,0.96,21.1393422419157
mobility,semi live processing,DBSCAN and rule-based mode inference,points300,points,300,,,,97,1,0.95,0.96,20.7279351625419
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger103,time_window,,103,,,94.0371077886263,1,0.95,0.942695213053119,21.6017473025776
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger35,time_window,,35,,,89.2674110031488,3,0.631986536733368,0.703761517140363,24.2779097039125
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger23,time_window,,23,,,88.3332029320208,5,0.642301895889518,0.658362960237929,24.702782082721
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger116,time_window,,116,,,95.4824472949421,1,0.95,0.96,20.9468404943775
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger56,time_window,,56,,,90.3568869473545,2,0.754267902322886,0.759147875124999,22.9206464642366
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger52,time_window,,52,,,90.9482658859667,2,0.702489487209122,0.786945276027756,23.7596504541106
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger49,time_window,,49,,,90.0720552715115,3,0.752161961532872,0.74976375439924,23.6012163486119
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger38,time_window,,38,,,89.4277831327193,4,0.69535297107609,0.735577468407476,23.3262897700544
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger34,time_window,,34,,,89.6153024955892,3,0.634651851039985,0.670077514155476,23.9588929431882
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger108,time_window,,108,,,94.6375643618423,1,0.95,0.96,21.5711727904094
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger91,time_window,,91,,,92.944366429005,1,0.882673534630054,0.96,21.624520944146
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger32,time_window,,32,,,88.9810663510503,3,0.700469361827856,0.745733935338098,23.6919416277152
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger97,time_window,,97,,,93.8499840460342,1,0.923520081159946,0.96,21.5308522909004
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger76,time_window,,76,,,91.8131027678059,2,0.874041805716333,0.897310145727327,22.3210297910487
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger24,time_window,,24,,,88.4292095746127,5,0.665711025995258,0.714708642426512,24.4778755458576
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger118,time_window,,118,,,95.3020316461543,1,0.95,0.96,21.2024290596596
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger109,time_window,,109,,,94.0391970516166,1,0.95,0.96,21.0538080514175
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger48,time_window,,48,,,90.3087337893666,3,0.73719612595026,0.744426930946056,23.6181792213475
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger50,time_window,,50,,,90.1372490874968,2,0.754649140511802,0.794963289904721,23.6892234104942
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger86,time_window,,86,,,93.0776128923004,1,0.833367476782809,0.910771580305943,21.9172023676817
mobility,semi live processing,DBSCAN and rule-based mode inference,trigger99,time_window,,99,,,93.5739896433791,1,0.915309772466676,0.96,21.8541386259973
